"Candidate","State","District","Office.Type","Primary.Status","Primary.Runoff.Status","Primary..","Race","Veteran.","LGBTQ.","Elected.Official.","Self.Funder.","STEM.","Obama.Alum.","Party.Support.","Emily.Endorsed.","Guns.Sense.Candidate.","Biden.Endorsed.","Warren.Endorsed.","Sanders.Endorsed.","Our.Revolution.Endorsed.","Justice.Dems.Endorsed.","PCCC.Endorsed.","Indivisible.Endorsed.","WFP.Endorsed.","VoteVets.Endorsed.","No.Labels.Support.","Election.Month","Neutral.Endorsements","Yes.Endorsements","No.Endorsements"
"Gil Cisneros","CA","U.S. House California District 39","Representative","Advanced","None",43.23,"Nonwhite","Yes","No","No","Yes","No","No","Yes","No","Yes","Neutral","Neutral","Neutral","No","Neutral","Neutral","No","Neutral","Yes","Neutral",6,7,2,3
"Herbert Lee","CA","U.S. House California District 39","Representative","Lost","None",9.4200001,"Nonwhite","No","No","No","Yes","Yes","No","No","No","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","No","Neutral","No","Neutral",6,7,0,5
"Mai Khanh Tran","CA","U.S. House California District 39","Representative","Lost","None",11.69,"Nonwhite","No","No","No","Yes","Yes","No","No","Yes","Yes","Neutral","Neutral","Neutral","No","Neutral","Neutral","No","Neutral","No","Neutral",6,7,2,3
"Sam Jammal","CA","U.S. House California District 39","Representative","Lost","None",11.98,"Nonwhite","No","No","No","No","No","Yes","No","No","Yes","Neutral","Neutral","Neutral","No","Neutral","Neutral","Yes","Neutral","No","Neutral",6,7,2,3
"Suzi Park Leggett","CA","U.S. House California District 39","Representative","Lost","None",3.24,"Nonwhite","No","No","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","No","Neutral","No","Neutral",6,7,0,5
"Jessica Morse","CA","U.S. House California District 4","Representative","Advanced","None",49.099998,"White","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","No","No","Neutral","Yes","Neutral","Neutral","Neutral",6,8,2,2
"Regina Bateson","CA","U.S. House California District 4","Representative","Lost","None",30.07,"White","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","No","No","Neutral","No","Neutral","Neutral","Neutral",6,8,1,3
"Robert Lawton","CA","U.S. House California District 4","Representative","Lost","None",5.25,"White","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","No","Neutral","No","Neutral","Neutral","Neutral",6,8,0,4
"Roza Calderon","CA","U.S. House California District 4","Representative","Lost","None",15.57,"Nonwhite","No","No","No","No","Yes","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Yes","Yes","Neutral","No","Neutral","Neutral","Neutral",6,8,3,1
"Julia Peacock","CA","U.S. House California District 42","Representative","Advanced","None",76.019997,"White","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","Neutral",6,10,2,0
"Norman Quintero","CA","U.S. House California District 42","Representative","Lost","None",23.98,"Nonwhite","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral",6,10,0,2
