,Candidate,State,Primary..,Neutral.Endorsements,Yes.Endorsements,No.Endorsements,Office.Type_Governor,Office.Type_Representative,Office.Type_Senator,Primary.Status_Advanced,Race_Nonwhite,Race_Unknown,Race_White,Veteran._No,Veteran._Unknown,Veteran._Yes,LGBTQ._No,LGBTQ._Unknown,LGBTQ._Yes,Elected.Official._Yes,Self.Funder._Yes,STEM._No,STEM._Unknown,STEM._Yes,Obama.Alum._Yes,Party.Support._Neutral,Party.Support._No,Party.Support._Yes
85,Douglas Applegate,CA,25.76,8,2,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
86,Mike Levin,CA,34.400002,8,1,3,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
87,Paul Kerr,CA,8.75,8,0,4,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0
88,Sara Jacobs,CA,31.09,8,1,3,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0
89,Ammar Campa-Najjar,CA,48.360001000000004,9,3,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
90,Josh Butner,CA,35.509997999999996,8,1,3,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
91,Patrick Malloy,CA,16.129998999999998,9,0,3,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
92,Marge Doyle,CA,59.610001000000004,12,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
93,Rita Ramirez,CA,27.67,12,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
94,Ronald O'Donnell,CA,12.71,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
95,Cary Kennedy,CO,24.719998999999998,10,2,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
96,Donna Lynne,CO,7.280000200000001,10,0,2,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
97,Jared Polis,CO,44.43,10,0,2,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0
98,Michael Johnston,CO,23.57,10,0,2,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0
99,Joe Neguse,CO,65.82,12,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
