,Candidate,State,Primary..,Neutral.Endorsements,Yes.Endorsements,No.Endorsements,Office.Type_Governor,Office.Type_Representative,Office.Type_Senator,Primary.Status_Advanced,Race_Nonwhite,Race_Unknown,Race_White,Veteran._No,Veteran._Unknown,Veteran._Yes,LGBTQ._No,LGBTQ._Unknown,LGBTQ._Yes,Elected.Official._Yes,Self.Funder._Yes,STEM._No,STEM._Unknown,STEM._Yes,Obama.Alum._Yes,Party.Support._Neutral,Party.Support._No,Party.Support._Yes
389,Kara Eastman,NE,51.639998999999996,8,4,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
390,Paul Theobald,NE,100.0,12,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
391,Chris Janicek,NE,20.219998999999998,12,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
392,Frank Svoboda,NE,11.37,12,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0
393,Jane Raybould,NE,63.68,12,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
394,Larry Marvin,NE,4.7399998,12,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
395,Alison Heslin,NJ,2.7,9,0,3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
396,Mark Washburne,NJ,3.4000001,9,0,3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
397,Mikie Sherrill,NJ,77.5,9,3,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
398,Mitchell Cobert,NJ,1.9,9,0,3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
399,Tamara Harris,NJ,14.5,9,0,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
400,Jeff Van Drew,NJ,55.400002,11,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
401,Nathan Kleinman,NJ,8.6000004,11,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
402,Tanzie Youngblood,NJ,19.200001,11,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
403,Will Cunningham,NJ,16.799999,11,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
404,Andrew Kim,NJ,100.0,9,3,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
405,Jim Keady,NJ,42.799999,10,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
406,Josh Welle,NJ,57.200001,10,0,2,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
407,Goutam Jois,NJ,14.1,9,0,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
408,Peter Jacob,NJ,19.1,9,2,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
409,Tom Malinowski,NJ,66.800003,9,1,2,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
410,Jeff Apodaca,NM,22.16,11,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
411,Joseph Cervantes,NM,11.47,11,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0
412,Michelle Lujan Grisham,NM,66.379997,11,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
413,Antoinette Sedillo Lopez,NM,20.610001,4,3,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
414,Damian Lara,NM,3.29,4,0,8,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
415,Damon Martinez,NM,25.809998999999998,4,2,6,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
416,Debra Haaland,NM,40.59,4,2,6,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
417,Patrick Davis,NM,3.8,4,1,7,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0
418,Paul Moya,NM,5.8899999,4,0,8,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
419,Madeline Hildebrandt,NM,27.379998999999998,10,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
420,Xochitl Torres Small,NM,72.620003,10,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
421,Asheesh Dewan,NV,1.01,9,0,3,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
422,Chris Giunchigliani,NV,38.860001000000004,9,3,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
423,David Jones,NV,1.73,9,0,3,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
424,Henry Thorns,NV,1.9,9,0,3,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
425,John Bonaventura,NV,2.99,9,0,3,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
426,Steve Sisolak,NV,50.029999,9,1,2,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
427,Clint Koble,NV,26.129998999999998,10,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
428,Jack Schofield Jr.,NV,7.5,10,0,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
429,Jesse Hurley,NV,8.04,10,0,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
430,Patrick Fogarty,NV,23.83,10,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
431,Rick Shepherd,NV,21.280001000000002,10,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
432,Vance Alm,NV,13.22,10,0,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
433,Eric Stoltz,NV,7.2399998,9,0,3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
434,Guy Pinjuv,NV,3.5,9,0,3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
435,Jack Love,NV,5.8000002,9,0,3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
436,Michael Weiss,NV,8.1800003,9,0,3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
437,Richard Hart,NV,4.8499999,9,0,3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
438,Steve Schiffman,NV,3.51,9,0,3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
439,Susie Lee,NV,66.910004,9,3,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
440,Allison Stephens,NV,6.02,6,0,6,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
441,Amy Vilela,NV,9.1999998,6,4,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
442,John Anzalone,NV,5.8000002,8,1,3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
443,Patricia Spearman,NV,15.24,6,2,4,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0
444,Sid Zeller,NV,2.0,6,0,6,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
445,Steven Horsford,NV,61.740002000000004,8,2,2,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
446,Allen Rheinhart,NV,3.3299999,9,0,3,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
447,Bobby Mahendra,NV,2.6700001,9,0,3,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
448,Daniel Burleigh,NV,2.26,9,0,3,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
449,David Drew Knight,NV,4.4299998,9,0,3,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
450,Jacky Rosen,NV,77.110001,9,2,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
451,Jesse Sbaih,NV,3.1700001,9,1,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
452,David Pechefsky,NY,11.9,12,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
453,Elaine DiMasi,NY,5.920000099999999,12,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
454,Kate Browning,NY,30.32,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
455,Perry Gershon,NY,35.450001,12,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
456,Vivian Viloria-Fisher,NY,16.26,12,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
457,Max Rose,NY,62.650002,10,2,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
458,Michael DeVito Jr.,NY,18.42,10,0,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
459,Omar Vaid,NY,8.430000300000001,10,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
460,Paul Sperling,NY,2.29,10,0,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
461,Radhakrishna Mohan,NY,3.78,10,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
462,Zach Emig,NY,1.26,10,0,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
463,Antonio Delgado,NY,21.99,7,1,4,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
464,Brian Flynn,NY,13.18,7,0,5,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
465,David Clegg,NY,11.08,7,1,4,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
466,Erin Collier,NY,4.8600001,7,2,3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
467,Gareth Rhodes,NY,17.85,7,1,4,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
468,Jeff Beals,NY,13.18,7,1,4,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
469,Pat Ryan,NY,17.719998999999998,7,2,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
470,DuWayne Gregory,NY,41.639998999999996,6,3,3,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0
471,Liuba Grechen Shirley,NY,57.98,6,4,2,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
472,Dylan Ratigan,NY,11.91,7,0,5,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
473,Emily Martz,NY,10.37,7,0,5,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
474,Katie Wilson,NY,11.68,7,1,4,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
475,Patrick Nelson,NY,9.119999900000002,7,3,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
476,Tedra Cobb,NY,56.009997999999996,7,3,2,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
477,Anthony Brindisi,NY,100.0,10,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
478,Eddie Sundquist,NY,6.420000099999999,8,0,4,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
479,Ian Golden,NY,13.44,8,2,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
480,Linda Andrei,NY,15.33,8,0,4,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
481,Max Della Pia,NY,32.400002,8,0,4,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
482,Tracy Mitrano,NY,32.299999,8,2,2,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
483,Dana Balter,NY,62.380001,4,5,3,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
484,Juanita Perez Williams,NY,37.23,4,3,5,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
485,Adam McFadden,NY,17.450001,9,0,3,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
486,Joseph Morelle,NY,45.290001000000004,9,2,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
487,Rachel Barnhart,NY,19.77,9,1,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
488,Robin Wilt,NY,17.35,9,2,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
489,Nate McMurray,NY,100.0,11,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
490,Dennis J. Kucinich,OH,22.98,9,1,2,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
491,Joseph Schiavoni,OH,9.1700001,9,1,2,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
492,Larry Ealy,OH,1.02,9,0,3,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
493,Paul Ray,OH,1.38,9,0,3,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
494,Richard Cordray,OH,62.16,9,2,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0
495,William O'Neill,OH,3.29,9,0,3,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0
496,Aftab Pureval,OH,100.0,12,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
497,Michael Milisits,OH,7.400000099999999,12,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
498,Robert Klepinger,OH,25.6,12,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
499,Theresa Gasper,OH,67.019997,12,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
500,Danny O'Connor,OH,40.939999,9,2,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
501,Danny O'Connor,OH,40.52,9,2,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
502,Doug Wilson,OH,3.74,9,0,3,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
503,Doug Wilson,OH,3.9400001000000002,9,0,3,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
504,Ed Albertson,OH,7.860000099999999,9,0,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
505,Ed Albertson,OH,8.0799999,9,0,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
506,Jackie Patton,OH,14.02,9,1,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
507,Jackie Patton,OH,13.58,9,1,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
508,John Peters,OH,1.49,9,0,3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
509,John Russell,OH,16.700001,9,2,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
510,John Russell,OH,16.27,9,2,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
511,Zach Scott,OH,16.1,9,0,3,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
512,Zach Scott,OH,16.76,9,0,3,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
513,Betsy Rader,OH,100.0,11,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
514,Rick Neal,OH,63.540001000000004,11,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
515,Rob Jarvis,OH,36.459998999999996,11,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
516,Aaron Godfrey,OH,7.9099998,10,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
517,Grant Goodrich,OH,28.059998999999998,10,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
518,John Wilson,OH,4.48,10,0,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
519,Mark Dent,OH,9.380000099999998,10,0,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
520,Susan Moran Palmer,OH,34.630001,10,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
521,TJ Mulloy,OH,15.54,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
522,Janet Everhard,OH,34.400002,11,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
523,Jill Schiller,OH,54.200001,11,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
524,William Smith,OH,11.4,11,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
525,Cody James Slatzer-Rose,OH,16.15,11,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
526,Janet Garrett,OH,83.849998,11,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
527,James Neu Jr.,OH,26.700001,11,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
528,John Michael Galbraith,OH,73.199997,11,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
529,Shawna Roberts,OH,74.5,11,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
530,Werner Lange,OH,25.5,11,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
531,Ken Harbaugh,OH,80.199997,10,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
532,Patrick Pikus,OH,19.799999,10,0,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
533,Bill Ebben,OH,12.18,11,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
534,Matthew Guyette,OH,13.63,11,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
535,Ted Jones,OH,16.280001000000002,11,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
536,Vanessa Enoch,OH,57.91,11,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
537,Constance Johnson,OK,38.619999,11,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
538,Drew Edmondson,OK,61.380001,11,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0
539,Amanda Douglas,OK,32.41,11,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
540,David Matthew Hullum,OK,5.02,11,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
541,Gwendolyn Fields,OK,19.620001000000002,11,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
542,Mark Keeter,OK,8.46,11,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
543,Tim Gilpin,OK,34.48,11,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
544,Clay Padgett,OK,24.23,12,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
545,Elijah McIntosh,OK,19.02,12,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
546,Jason Nichols,OK,37.880001,12,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
547,Virginia Jenner,OK,18.860001,12,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
548,Frankie Robbins,OK,64.839996,12,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
549,Murray Thibodeaux,OK,35.16,12,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
550,Fred Gipson,OK,30.360001,12,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0
551,Mallory Varner,OK,18.610001,12,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
552,Mary Brannon,OK,34.360001000000004,12,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
553,Roxann Klutts,OK,16.67,12,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
554,Eddie Porter,OK,10.63,12,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
555,Elysabeth Britt,OK,13.51,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
556,Kendra Horn,OK,43.84,12,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
557,Leona Kelley-Leonard,OK,8.4200001,12,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
558,Tom Guild,OK,17.91,12,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
559,Tyson Todd Meade,OK,5.6900001,12,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
560,Eric Burnette,OR,4.619999900000001,10,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
561,Jamie McLeod-Skinner,OR,42.82,11,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
562,Jennifer Neahring,OR,23.68,12,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
563,Jim Crary,OR,11.44,12,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
564,Michael Byrne,OR,4.3000002,12,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
565,Raz Mason,OR,5.3000002,12,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
566,Timothy White,OR,5.8600001,12,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
567,Rachel Reddick,PA,35.330002,9,3,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
568,Scott Wallace,PA,56.48,11,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
569,Steve Bacher,PA,8.1899996,11,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
570,Alan Howe,PA,10.81,12,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
571,Eric Ding,PA,17.99,12,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
572,George Scott,PA,36.330002,12,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
573,Shavonnia Corbin-Johnson,PA,34.869999,11,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
574,Jessica King,PA,100.0,8,4,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
575,Judy Herschel,PA,49.610001000000004,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
576,Marc Friedenberg,PA,50.389998999999996,11,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
577,Brent Ottaway,PA,100.0,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
578,Adam Sedlock,PA,23.879998999999998,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
579,Bibiana Boerio,PA,43.200001,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
580,Robert Solomon,PA,19.040001,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
581,Tom Prigg,PA,13.89,12,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
582,Susan Boser,PA,74.559998,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
583,Wade Jodun,PA,25.440001000000002,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
584,Chris Rieger,PA,24.92,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
585,Robert Multari,PA,15.11,12,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
586,Ronald DiNicola,PA,59.970001,12,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
587,Joe Hoeffel,PA,10.96,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
