"Candidate","State","District","Office.Type","Primary.Status","Primary.Runoff.Status","Primary..","Race","Veteran.","LGBTQ.","Elected.Official.","Self.Funder.","STEM.","Obama.Alum.","Party.Support.","Emily.Endorsed.","Guns.Sense.Candidate.","Biden.Endorsed.","Warren.Endorsed.","Sanders.Endorsed.","Our.Revolution.Endorsed.","Justice.Dems.Endorsed.","PCCC.Endorsed.","Indivisible.Endorsed.","WFP.Endorsed.","VoteVets.Endorsed.","No.Labels.Support.","Election.Month"
"Michael Kotick","CA","U.S. House California District 48","Representative","Lost","None",3.26,"White","No","No","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","Neutral","Neutral","6"
"Omar Siddiqui","CA","U.S. House California District 48","Representative","Lost","None",10.81,"Nonwhite","No","No","No","Yes","Yes","No","No","No","Yes","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","Neutral","Neutral","6"
"Rachel Payne","CA","U.S. House California District 48","Representative","Lost","None",4.4899998,"White","No","No","No","No","Yes","No","No","Yes","No","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","Neutral","Neutral","6"
"Tony Zarkades","CA","U.S. House California District 48","Representative","Lost","None",1.6,"White","Yes","No","No","No","Yes","No","No","No","No","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","Neutral","Neutral","6"
"Douglas Applegate","CA","U.S. House California District 49","Representative","Lost","None",25.76,"White","Yes","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","No","Neutral","Neutral","Yes","Neutral","6"
"Mike Levin","CA","U.S. House California District 49","Representative","Advanced","None",34.400002,"White","No","No","No","No","No","No","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral","No","Yes","Neutral","Neutral","No","Neutral","6"
"Paul Kerr","CA","U.S. House California District 49","Representative","Lost","None",8.75,"White","Yes","No","No","Yes","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","No","No","Neutral","Neutral","No","Neutral","6"
"Sara Jacobs","CA","U.S. House California District 49","Representative","Lost","None",31.09,"White","No","No","No","Yes","No","Yes","No","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","No","No","Neutral","Neutral","No","Neutral","6"
"Ammar Campa-Najjar","CA","U.S. House California District 50","Representative","Advanced","None",48.360001,"Nonwhite","No","No","No","No","No","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Yes","Yes","Neutral","Neutral","Neutral","6"
"Josh Butner","CA","U.S. House California District 50","Representative","Lost","None",35.509998,"White","Yes","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","No","No","Neutral","Yes","Neutral","6"
"Patrick Malloy","CA","U.S. House California District 50","Representative","Lost","None",16.129999,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","No","No","Neutral","Neutral","Neutral","6"
