"Candidate","State","District","Office.Type","Primary.Status","Primary.Runoff.Status","Primary..","Race","Veteran.","LGBTQ.","Elected.Official.","Self.Funder.","STEM.","Obama.Alum.","Party.Support.","Emily.Endorsed.","Guns.Sense.Candidate.","Biden.Endorsed.","Warren.Endorsed.","Sanders.Endorsed.","Our.Revolution.Endorsed.","Justice.Dems.Endorsed.","PCCC.Endorsed.","Indivisible.Endorsed.","WFP.Endorsed.","VoteVets.Endorsed.","No.Labels.Support.","Election.Month"
"Damon Martinez","NM","U.S. House New Mexico District 1","Representative","Lost","None",25.809999,"Nonwhite","Yes","No","No","No","No","No","Neutral","No","No","Neutral","No","Neutral","No","No","Neutral","Neutral","No","Yes","Yes","6"
"Debra Haaland","NM","U.S. House New Mexico District 1","Representative","Advanced","None",40.59,"Nonwhite","No","No","No","No","No","Yes","Neutral","Yes","No","Neutral","Yes","Neutral","No","No","Neutral","Neutral","No","No","No","6"
"Patrick Davis","NM","U.S. House New Mexico District 1","Representative","Lost","None",3.8,"White","No","Yes","Yes","No","No","No","Neutral","No","Yes","Neutral","No","Neutral","No","No","Neutral","Neutral","No","No","No","6"
"Paul Moya","NM","U.S. House New Mexico District 1","Representative","Lost","None",5.8899999,"Nonwhite","No","No","No","No","No","No","Neutral","No","No","Neutral","No","Neutral","No","No","Neutral","Neutral","No","No","No","6"
"Madeline Hildebrandt","NM","U.S. House New Mexico District 2","Representative","Lost","None",27.379999,"Unknown","Yes","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Xochitl Torres Small","NM","U.S. House New Mexico District 2","Representative","Advanced","None",72.620003,"Nonwhite","No","No","No","No","No","No","Yes","Yes","Neutral","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Asheesh Dewan","NV","Governor of Nevada","Governor","Lost","None",1.01,"Nonwhite","No","No","No","No","No","No","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","Neutral","Neutral","6"
"Chris Giunchigliani","NV","Governor of Nevada","Governor","Lost","None",38.860001,"Unknown","No","No","Yes","No","No","No","Neutral","Yes","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","6"
"David Jones","NV","Governor of Nevada","Governor","Lost","None",1.73,"Unknown","No","No","No","No","No","No","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","Neutral","Neutral","6"
"Henry Thorns","NV","Governor of Nevada","Governor","Lost","None",1.9,"Nonwhite","No","No","No","No","Yes","No","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","Neutral","Neutral","6"
"John Bonaventura","NV","Governor of Nevada","Governor","Lost","None",2.99,"Unknown","No","No","Yes","No","No","No","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","Neutral","Neutral","6"
"Steve Sisolak","NV","Governor of Nevada","Governor","Advanced","None",50.029999,"Unknown","No","No","Yes","No","No","No","Neutral","No","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","Neutral","Neutral","6"
"Clint Koble","NV","U.S. House Nevada District 2","Representative","Advanced","None",26.129999,"Unknown","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Jack Schofield Jr.","NV","U.S. House Nevada District 2","Representative","Lost","None",7.5,"Unknown","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Jesse Hurley","NV","U.S. House Nevada District 2","Representative","Lost","None",8.04,"Unknown","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Patrick Fogarty","NV","U.S. House Nevada District 2","Representative","Lost","None",23.83,"Unknown","No","No","No","No","Yes","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Rick Shepherd","NV","U.S. House Nevada District 2","Representative","Lost","None",21.280001,"Unknown","No","No","No","No","Yes","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Vance Alm","NV","U.S. House Nevada District 2","Representative","Lost","None",13.22,"Unknown","Yes","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Eric Stoltz","NV","U.S. House Nevada District 3","Representative","Lost","None",7.2399998,"Unknown","No","No","No","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Guy Pinjuv","NV","U.S. House Nevada District 3","Representative","Lost","None",3.5,"Unknown","No","No","No","No","Yes","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Jack Love","NV","U.S. House Nevada District 3","Representative","Lost","None",5.8000002,"Unknown","No","No","No","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Michael Weiss","NV","U.S. House Nevada District 3","Representative","Lost","None",8.1800003,"Unknown","No","No","No","No","Yes","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Richard Hart","NV","U.S. House Nevada District 3","Representative","Lost","None",4.8499999,"Unknown","No","No","No","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Steve Schiffman","NV","U.S. House Nevada District 3","Representative","Lost","None",3.51,"Unknown","No","No","No","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Susie Lee","NV","U.S. House Nevada District 3","Representative","Advanced","None",66.910004,"Unknown","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Allison Stephens","NV","U.S. House Nevada District 4","Representative","Lost","None",6.02,"Nonwhite","No","No","Yes","No","No","No","No","Neutral","No","No","Neutral","Neutral","No","No","Neutral","No","Neutral","No","Neutral","6"
"Amy Vilela","NV","U.S. House Nevada District 4","Representative","Lost","None",9.1999998,"Unknown","No","No","No","No","No","No","No","Neutral","Yes","No","Neutral","Neutral","Yes","Yes","Neutral","Yes","Neutral","No","Neutral","6"
"John Anzalone","NV","U.S. House Nevada District 4","Representative","Lost","None",5.8000002,"Unknown","No","No","No","No","No","No","No","Neutral","Yes","No","Neutral","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Patricia Spearman","NV","U.S. House Nevada District 4","Representative","Lost","None",15.24,"Nonwhite","Yes","Yes","Yes","No","No","No","No","Neutral","Yes","No","Neutral","Neutral","No","No","Neutral","No","Neutral","Yes","Neutral","6"
"Sid Zeller","NV","U.S. House Nevada District 4","Representative","Lost","None",2,"Unknown","Yes","No","No","No","No","No","No","Neutral","No","No","Neutral","Neutral","No","No","Neutral","No","Neutral","No","Neutral","6"
"Steven Horsford","NV","U.S. House Nevada District 4","Representative","Advanced","None",61.740002,"Nonwhite","No","No","Yes","No","No","No","Yes","Neutral","Yes","Yes","Neutral","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Allen Rheinhart","NV","U.S. Senate Nevada","Senator","Lost","None",3.3299999,"Nonwhite","No","No","No","No","No","No","No","No","Neutral","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Bobby Mahendra","NV","U.S. Senate Nevada","Senator","Lost","None",2.6700001,"Nonwhite","No","No","No","No","No","No","No","No","Neutral","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Daniel Burleigh","NV","U.S. Senate Nevada","Senator","Lost","None",2.26,"Unknown","No","No","No","No","No","No","No","No","Neutral","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"David Drew Knight","NV","U.S. Senate Nevada","Senator","Lost","None",4.4299998,"Unknown","No","No","No","No","No","No","No","No","Neutral","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Jacky Rosen","NV","U.S. Senate Nevada","Senator","Advanced","None",77.110001,"Unknown","No","No","Yes","No","Yes","No","Yes","Yes","Neutral","Yes","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Jesse Sbaih","NV","U.S. Senate Nevada","Senator","Lost","None",3.1700001,"Nonwhite","No","No","No","Yes","No","No","No","No","Neutral","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"David Pechefsky","NY","U.S. House New York District 1","Representative","Lost","None",11.9,"Unknown","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Elaine DiMasi","NY","U.S. House New York District 1","Representative","Lost","None",5.9200001,"Unknown","No","No","No","No","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Kate Browning","NY","U.S. House New York District 1","Representative","Lost","None",30.32,"White","No","No","Yes","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Perry Gershon","NY","U.S. House New York District 1","Representative","Advanced","None",35.450001,"Unknown","No","No","No","Yes","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Vivian Viloria-Fisher","NY","U.S. House New York District 1","Representative","Lost","None",16.26,"Nonwhite","No","No","Yes","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Max Rose","NY","U.S. House New York District 11","Representative","Advanced","None",62.650002,"Unknown","Yes","No","No","No","No","No","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Yes","Neutral","6"
"Michael DeVito Jr.","NY","U.S. House New York District 11","Representative","Lost","None",18.42,"Nonwhite","Yes","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","No","Neutral","6"
"Omar Vaid","NY","U.S. House New York District 11","Representative","Lost","None",8.4300003,"Nonwhite","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","No","Neutral","6"
"Paul Sperling","NY","U.S. House New York District 11","Representative","Lost","None",2.29,"Unknown","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","No","Neutral","6"
"Radhakrishna Mohan","NY","U.S. House New York District 11","Representative","Lost","None",3.78,"Nonwhite","No","No","No","No","Yes","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","No","Neutral","6"
"Zach Emig","NY","U.S. House New York District 11","Representative","Lost","None",1.26,"Unknown","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","No","Neutral","6"
"Antonio Delgado","NY","U.S. House New York District 19","Representative","Advanced","None",21.99,"Nonwhite","No","No","No","No","No","No","Neutral","No","Yes","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","No","Neutral","6"
"Brian Flynn","NY","U.S. House New York District 19","Representative","Lost","None",13.18,"White","No","No","No","Yes","No","No","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","No","Neutral","6"
"David Clegg","NY","U.S. House New York District 19","Representative","Lost","None",11.08,"Unknown","No","No","No","Yes","No","No","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","No","Neutral","Yes","Neutral","No","Neutral","6"
"Erin Collier","NY","U.S. House New York District 19","Representative","Lost","None",4.8600001,"Unknown","No","No","No","No","No","No","Neutral","Yes","Yes","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","No","Neutral","6"
"Gareth Rhodes","NY","U.S. House New York District 19","Representative","Lost","None",17.85,"Unknown","No","No","No","No","No","No","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","No","Neutral","Yes","Neutral","No","Neutral","6"
"Jeff Beals","NY","U.S. House New York District 19","Representative","Lost","None",13.18,"Unknown","No","No","No","No","No","No","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","No","Neutral","No","Neutral","6"
"Pat Ryan","NY","U.S. House New York District 19","Representative","Lost","None",17.719999,"Unknown","Yes","No","No","No","No","No","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","No","Neutral","Yes","Neutral","Yes","Neutral","6"
"DuWayne Gregory","NY","U.S. House New York District 2","Representative","Lost","None",41.639999,"Nonwhite","Yes","No","Yes","No","No","No","Neutral","No","Yes","Neutral","Neutral","Neutral","No","Neutral","Neutral","No","Yes","Yes","Neutral","6"
"Liuba Grechen Shirley","NY","U.S. House New York District 2","Representative","Advanced","None",57.98,"Unknown","No","No","No","No","No","No","Neutral","Yes","Yes","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","Yes","No","No","Neutral","6"
"Dylan Ratigan","NY","U.S. House New York District 21","Representative","Lost","None",11.91,"Unknown","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","No","Neutral","No","No","Neutral","Neutral","6"
"Emily Martz","NY","U.S. House New York District 21","Representative","Lost","None",10.37,"Unknown","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","No","Neutral","No","No","Neutral","Neutral","6"
"Katie Wilson","NY","U.S. House New York District 21","Representative","Lost","None",11.68,"Unknown","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","No","Neutral","No","Yes","Neutral","Neutral","6"
"Patrick Nelson","NY","U.S. House New York District 21","Representative","Lost","None",9.1199999,"White","No","No","No","No","Yes","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Yes","Yes","Neutral","No","No","Neutral","Neutral","6"
"Tedra Cobb","NY","U.S. House New York District 21","Representative","Advanced","None",56.009998,"Unknown","No","No","Yes","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Yes","No","Neutral","Yes","No","Neutral","Neutral","6"
"Anthony Brindisi","NY","U.S. House New York District 22","Representative","Advanced","None",100,"Unknown","No","No","Yes","No","No","No","Yes","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","6"
"Eddie Sundquist","NY","U.S. House New York District 23","Representative","Lost","None",6.4200001,"Unknown","No","Yes","No","No","Yes","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","No","Neutral","Neutral","No","Neutral","Neutral","6"
"Ian Golden","NY","U.S. House New York District 23","Representative","Lost","None",13.44,"Unknown","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Yes","Yes","Neutral","Neutral","No","Neutral","Neutral","6"
"Linda Andrei","NY","U.S. House New York District 23","Representative","Lost","None",15.33,"Unknown","No","No","No","No","Yes","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","No","Neutral","Neutral","No","Neutral","Neutral","6"
"Max Della Pia","NY","U.S. House New York District 23","Representative","Lost","None",32.400002,"Unknown","Yes","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","No","Neutral","Neutral","No","Neutral","Neutral","6"
"Tracy Mitrano","NY","U.S. House New York District 23","Representative","Advanced","None",32.299999,"Unknown","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","No","No","Neutral","Neutral","Yes","Neutral","Neutral","6"
"Dana Balter","NY","U.S. House New York District 24","Representative","Advanced","None",62.380001,"Unknown","No","No","No","No","No","No","No","No","Yes","Neutral","Neutral","Neutral","Yes","No","Yes","Yes","Yes","No","Neutral","6"
"Juanita Perez Williams","NY","U.S. House New York District 24","Representative","Lost","None",37.23,"Nonwhite","Yes","No","No","No","No","No","Yes","Yes","Yes","Neutral","Neutral","Neutral","No","No","No","No","No","Yes","Neutral","6"
"Adam McFadden","NY","U.S. House New York District 25","Representative","Lost","None",17.450001,"Nonwhite","No","No","Yes","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","6"
"Joseph Morelle","NY","U.S. House New York District 25","Representative","Advanced","None",45.290001,"Unknown","No","No","Yes","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","6"
"Rachel Barnhart","NY","U.S. House New York District 25","Representative","Lost","None",19.77,"Unknown","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","6"
"Robin Wilt","NY","U.S. House New York District 25","Representative","Lost","None",17.35,"Nonwhite","No","No","Yes","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","No","Neutral","Neutral","6"
"Nate McMurray","NY","U.S. House New York District 27","Representative","Advanced","None",100,"White","No","No","Yes","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","6"
"Dennis J. Kucinich","OH","Governor of Ohio","Governor","Lost","None",22.98,"White","No","No","Yes","No","No","No","Neutral","Neutral","No","Neutral","No","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Joseph Schiavoni","OH","Governor of Ohio","Governor","Lost","None",9.1700001,"Unknown","No","No","Yes","No","No","No","Neutral","Neutral","Yes","Neutral","No","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Larry Ealy","OH","Governor of Ohio","Governor","Lost","None",1.02,"Nonwhite","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","No","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Paul Ray","OH","Governor of Ohio","Governor","Lost","None",1.38,"Unknown","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","No","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Richard Cordray","OH","Governor of Ohio","Governor","Advanced","None",62.16,"White","No","No","Yes","No","No","Yes","Neutral","Neutral","Yes","Neutral","Yes","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"William O'Neill","OH","Governor of Ohio","Governor","Lost","None",3.29,"White","Yes","No","Yes","No","No","No","Neutral","Neutral","No","Neutral","No","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Aftab Pureval","OH","U.S. House Ohio District 1","Representative","Advanced","None",100,"Nonwhite","No","No","Yes","No","No","No","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Michael Milisits","OH","U.S. House Ohio District 10","Representative","Lost","None",7.4000001,"Unknown","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Robert Klepinger","OH","U.S. House Ohio District 10","Representative","Lost","None",25.6,"Unknown","No","No","No","No","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Theresa Gasper","OH","U.S. House Ohio District 10","Representative","Advanced","None",67.019997,"Unknown","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Danny O'Connor","OH","U.S. House Ohio District 12","Representative","Advanced","None",40.939999,"Unknown","No","No","Yes","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","No","Neutral","Yes","Neutral","Neutral","Neutral","5"
"Danny O'Connor","OH","U.S. House Ohio District 12","Representative","Advanced","None",40.52,"Unknown","No","No","Yes","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","No","Neutral","Yes","Neutral","Neutral","Neutral","5"
"Doug Wilson","OH","U.S. House Ohio District 12","Representative","Lost","None",3.74,"Unknown","No","No","Yes","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","Neutral","Neutral","5"
"Doug Wilson","OH","U.S. House Ohio District 12","Representative","Lost","None",3.9400001,"Unknown","No","No","Yes","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","Neutral","Neutral","5"
"Ed Albertson","OH","U.S. House Ohio District 12","Representative","Lost","None",7.8600001,"Unknown","Yes","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","Neutral","Neutral","5"
"Ed Albertson","OH","U.S. House Ohio District 12","Representative","Lost","None",8.0799999,"Unknown","Yes","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","Neutral","Neutral","5"
"Jackie Patton","OH","U.S. House Ohio District 12","Representative","Lost","None",14.02,"Unknown","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","Neutral","Neutral","5"
"Jackie Patton","OH","U.S. House Ohio District 12","Representative","Lost","None",13.58,"Unknown","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","Neutral","Neutral","5"
"John Peters","OH","U.S. House Ohio District 12","Representative","Lost","None",1.49,"Unknown","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","Neutral","Neutral","5"
"John Russell","OH","U.S. House Ohio District 12","Representative","Lost","None",16.700001,"Unknown","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","No","Neutral","Neutral","Neutral","5"
"John Russell","OH","U.S. House Ohio District 12","Representative","Lost","None",16.27,"Unknown","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","No","Neutral","Neutral","Neutral","5"
"Zach Scott","OH","U.S. House Ohio District 12","Representative","Lost","None",16.1,"Unknown","No","No","Yes","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","Neutral","Neutral","5"
"Zach Scott","OH","U.S. House Ohio District 12","Representative","Lost","None",16.76,"Unknown","No","No","Yes","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","Neutral","Neutral","5"
"Betsy Rader","OH","U.S. House Ohio District 14","Representative","Advanced","None",100,"Unknown","No","No","No","No","No","No","Yes","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Rick Neal","OH","U.S. House Ohio District 15","Representative","Advanced","None",63.540001,"Unknown","No","Yes","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Rob Jarvis","OH","U.S. House Ohio District 15","Representative","Lost","None",36.459999,"Unknown","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Aaron Godfrey","OH","U.S. House Ohio District 16","Representative","Lost","None",7.9099998,"Unknown","No","No","No","No","Yes","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Grant Goodrich","OH","U.S. House Ohio District 16","Representative","Lost","None",28.059999,"Unknown","Yes","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"John Wilson","OH","U.S. House Ohio District 16","Representative","Lost","None",4.48,"Unknown","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Mark Dent","OH","U.S. House Ohio District 16","Representative","Lost","None",9.3800001,"Unknown","Yes","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Susan Moran Palmer","OH","U.S. House Ohio District 16","Representative","Advanced","None",34.630001,"Unknown","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"TJ Mulloy","OH","U.S. House Ohio District 16","Representative","Lost","None",15.54,"White","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Janet Everhard","OH","U.S. House Ohio District 2","Representative","Lost","None",34.400002,"Unknown","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Jill Schiller","OH","U.S. House Ohio District 2","Representative","Advanced","None",54.200001,"Unknown","No","No","No","No","No","Yes","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"William Smith","OH","U.S. House Ohio District 2","Representative","Lost","None",11.4,"Unknown","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Cody James Slatzer-Rose","OH","U.S. House Ohio District 4","Representative","Lost","None",16.15,"Unknown","No","No","No","No","Yes","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Janet Garrett","OH","U.S. House Ohio District 4","Representative","Advanced","None",83.849998,"Unknown","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"James Neu Jr.","OH","U.S. House Ohio District 5","Representative","Lost","None",26.700001,"Unknown","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"John Michael Galbraith","OH","U.S. House Ohio District 5","Representative","Advanced","None",73.199997,"Unknown","No","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Shawna Roberts","OH","U.S. House Ohio District 6","Representative","Advanced","None",74.5,"Unknown","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","5"
